,key,path,found_perm,true_perm,correct,overlap
0,a,/Users/jdreiling/Desktop/puck/puck//images/dark/michaels/high/A/dark_michaels_high_A_1.jpg,afd,afd,True,3
1,a,/Users/jdreiling/Desktop/puck/puck//images/dark/michaels/high/A/dark_michaels_high_A_0.jpg,ahd,afd,False,2
2,a,/Users/jdreiling/Desktop/puck/puck//images/dark/michaels/high/A/dark_michaels_high_A_2.jpg,ahd,afd,False,2
3,a,/Users/jdreiling/Desktop/puck/puck//images/dark/michaels/high/A/dark_michaels_high_A_3.jpg,afd,afd,True,3
4,a,/Users/jdreiling/Desktop/puck/puck//images/dark/michaels/high/A/dark_michaels_high_A_4.jpg,afd,afd,True,3
5,a,/Users/jdreiling/Desktop/puck/puck//images/dark/michaels/short/A/dark_michaels_short_A_4.jpg,afd,afd,True,3
6,a,/Users/jdreiling/Desktop/puck/puck//images/dark/michaels/short/A/dark_michaels_short_A_3.jpg,afd,afd,True,3
7,a,/Users/jdreiling/Desktop/puck/puck//images/dark/michaels/short/A/dark_michaels_short_A_2.jpg,afd,afd,True,3
8,a,/Users/jdreiling/Desktop/puck/puck//images/dark/michaels/short/A/dark_michaels_short_A_0.jpg,ahd,afd,False,2
9,a,/Users/jdreiling/Desktop/puck/puck//images/dark/michaels/short/A/dark_michaels_short_A_1.jpg,afd,afd,True,3
10,a,/Users/jdreiling/Desktop/puck/puck//images/dark/michaels/medium/A/dark_michaels_medium_A_4.jpg,ahd,afd,False,2
11,a,/Users/jdreiling/Desktop/puck/puck//images/dark/michaels/medium/A/dark_michaels_medium_A_3.jpg,afd,afd,True,3
12,a,/Users/jdreiling/Desktop/puck/puck//images/dark/michaels/medium/A/dark_michaels_medium_A_2.jpg,afd,afd,True,3
13,a,/Users/jdreiling/Desktop/puck/puck//images/dark/michaels/medium/A/dark_michaels_medium_A_0.jpg,afd,afd,True,3
14,a,/Users/jdreiling/Desktop/puck/puck//images/dark/michaels/medium/A/dark_michaels_medium_A_1.jpg,afd,afd,True,3
15,a,/Users/jdreiling/Desktop/puck/puck//images/dark/davids/high/A/dark_davids_high_A_4.jpg,ahd,afd,False,2
16,a,/Users/jdreiling/Desktop/puck/puck//images/dark/davids/high/A/dark_davids_high_A_3.jpg,afd,afd,True,3
17,a,/Users/jdreiling/Desktop/puck/puck//images/dark/davids/high/A/dark_davids_high_A_2.jpg,afd,afd,True,3
18,a,/Users/jdreiling/Desktop/puck/puck//images/dark/davids/high/A/dark_davids_high_A_0.jpg,afd,afd,True,3
